"aquaticSiteType","siteID","locationID","year","samplingImpractical","habitatType","samplerType","targetTaxaPresent","chemSubsampleID","sampleCollected","benthicArea","sampleDepth","growthForm","taxonID","class","arealAdjDryMass","arealAdjAshFreeDryMass","biomass","type"
"stream","HOPB","Q5",2022,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q6",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q7",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q8",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q9",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","HOPB","Q10",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2017,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2017,NA,"riffle",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2017,NA,"run",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2017,NA,"riffle",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2017,NA,"run",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2017,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2017,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2017,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2018,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2018,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2018,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2019,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2019,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2019,"other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2019,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2019,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2020,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2020,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2021,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2021,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q1",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q2",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q3",2022,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q4",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q5",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q6",2022,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q7",2022,NA,"pool","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q8",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q9",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","LEWI","Q10",2022,NA,"run","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2015,NA,"pool","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2015,NA,"pool","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2015,NA,"pool","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2015,NA,"riffle","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2015,NA,"run","mini quadrat","N",NA,"N",0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2016,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2016,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2016,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2016,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2016,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2017,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2017,NA,"riffle","quadrat, benthic","N",NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2017,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2017,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2017,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2017,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2017,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2017,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2017,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2017,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2018,NA,"run","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2018,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2018,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2018,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2018,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2019,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2019,NA,"run","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2019,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2019,NA,"run","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2019,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2020,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2020,NA,"run","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2020,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2020,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2020,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2021,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q5",2021,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q6",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q7",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q8",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q9",2021,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q10",2021,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q1",2022,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q3",2022,NA,"pool","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q2",2022,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
"stream","POSE","Q4",2022,NA,"riffle","mini quadrat","N",NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,"plant"
